Status,Filed,Claim Type
Open,2016-12-07,9 - OT
Open,2016-12-01,9 - OT
Open,2016-12-04,9 - OT
Open,2016-12-06,8 - MW
Open,2016-10-07,9 - OT
Open,2016-11-16,9 - OT
Open,2016-12-15,9 - OT
Open,2016-09-27,9 - OT
Open,2016-05-10,9 - OT
Open,2016-12-05,8 - MW
Open,2016-12-15,9 - OT
Open,2016-12-16,9 - OT
Awaiting Payment,2016-12-13,9 - OT
Open,2016-12-12,9 - OT
Open,2016-12-19,8 - MW;#9 - OT
Open,2016-11-22,9 - OT
Open,2016-07-11,9 - OT
Open,2016-08-08,9 - OT
Open,2016-10-31,9 - OT
Open,2016-01-20,9 - OT
Open,2016-12-28,9 - OT
Open,2016-12-27,9 - OT
Open,2016-12-19,9 - OT
Open,2016-12-23,8 - MW;#9 - OT
Open,2016-11-27,9 - OT
Open,2016-12-21,9 - OT
Open,2016-11-29,9 - OT
Open,2016-10-02,9 - OT
Open,2016-12-21,9 - OT
Open,2016-12-23,9 - OT
Open,2016-06-28,8 - MW
Open,2017-01-09,9 - OT
Open,2016-08-30,8 - MW;#9 - OT
Open,2017-01-04,9 - OT
Open,2016-12-07,9 - OT
Open,2016-11-30,9 - OT
Open,2016-12-15,9 - OT
Open,2017-01-01,9 - OT
Open,2017-01-03,9 - OT
Open,2017-01-05,9 - OT
Open,2016-11-17,9 - OT
Open,2017-01-08,9 - OT
Open,2016-12-02,8 - MW
Open,2016-12-05,9 - OT
Open,2016-11-28,9 - OT
Open,2017-01-06,9 - OT
Awaiting Payment,2016-12-06,9 - OT
Open,2017-01-09,9 - OT
Open,2016-12-20,9 - OT
Open,2016-12-15,9 - OT
Open,2017-01-24,9 - OT
Open,2017-01-17,8 - MW
Open,2017-01-12,9 - OT
Open,2017-01-12,9 - OT
Open,2017-01-06,9 - OT
Open,2017-01-26,9 - OT
Open,2017-01-23,9 - OT
Open,2017-01-20,9 - OT
Open,2017-01-30,9 - OT
Open,2017-01-26,9 - OT
Open,2017-01-26,9 - OT
Open,2017-01-05,9 - OT
Open,2017-01-09,9 - OT
Open,2017-01-04,9 - OT
Open,2017-02-07,8 - MW;#9 - OT
Open,2017-02-09,9 - OT
Open,2017-02-03,9 - OT
Open,2017-02-02,9 - OT
Open,2017-02-03,9 - OT
Open,2017-02-08,9 - OT
Open,2017-02-01,9 - OT
Open,2017-01-26,8 - MW
Open,2017-01-09,9 - OT
Open,2017-02-02,8 - MW
Open,2017-01-23,9 - OT
Open,2017-02-17,9 - OT
Open,2017-02-06,9 - OT
Open,2017-01-19,8 - MW
Open,2017-01-12,9 - OT
Open,2017-01-27,9 - OT
Open,2017-02-13,9 - OT
Open,2017-02-06,9 - OT
Open,2017-02-08,8 - MW
Open,2017-02-06,9 - OT
Open,2017-02-03,9 - OT
Open,2017-02-21,9 - OT
Open,2017-02-17,9 - OT
Open,2017-01-31,9 - OT
Open,2017-02-27,8 - MW
Open,2017-02-27,9 - OT
Open,2017-02-13,9 - OT
Open,2017-02-19,9 - OT
Open,2017-02-21,9 - OT
Open,2017-01-31,9 - OT
Open,2017-02-23,8 - MW;#9 - OT
Open,2017-02-27,8 - MW
Open,2017-02-07,8 - MW
Open,2017-02-09,8 - MW;#9 - OT
Open,2017-02-24,9 - OT
Open,2016-09-23,9 - OT
Open,2017-01-31,9 - OT
Open,2017-02-28,9 - OT
Open,2017-03-03,8 - MW
Open,2017-03-06,8 - MW;#9 - OT
Open,2017-03-07,8 - MW
Open,2017-03-08,9 - OT
Open,2017-03-08,9 - OT
Open,2017-03-08,9 - OT
Open,2017-03-17,9 - OT
Open,2017-03-13,9 - OT
Open,2017-03-10,9 - OT
Open,2017-03-01,9 - OT
Open,2017-02-28,9 - OT
Open,2017-03-06,9 - OT
Open,2017-03-08,8 - MW;#9 - OT
Open,2017-03-17,9 - OT
Open,2017-03-13,9 - OT
Open,2017-03-13,9 - OT
Open,2017-03-14,9 - OT
Open,2017-03-14,9 - OT
