Hearing Date and Time Start,ALJ,Case
2015-04-14T10:30:00,Cyrus,14-000926
2015-04-14T13:00:00,Cyrus,14-000904
2015-04-14T14:30:00,Cyrus,14-000953
2015-04-15T09:00:00,Cyrus,14-000592
2015-04-15T09:30:00,Manley,14-001805
2015-04-15T10:00:00,Haggerty,14-000958
2015-04-15T10:30:00,Manley,14-001729
2015-04-15T13:00:00,Haggerty,14-000794
2015-04-15T14:30:00,Haggerty,14-001274
2015-04-16T09:00:00,Ballin,14-001012
2015-04-16T13:00:00,Ballin,14-000862
2015-04-16T15:00:00,Ballin,14-000978
2015-04-21T10:30:00,Cyrus,14-001087
2015-04-21T10:30:00,Ballin,14-001210
2015-04-21T13:00:00,Ballin,14-001136
2015-04-22T10:30:00,Cyrus,14-001045
2015-04-22T11:00:00,Manley,14-001984
2015-04-22T13:00:00,Cyrus,14-000963
2015-04-23T09:00:00,Manley,14-002500
2015-04-24T13:00:00,Haggerty,14-001139
2015-04-24T14:00:00,Haggerty,14-001176
2015-04-24T15:00:00,Haggerty,14-001178
2015-04-27T09:00:00,Haggerty,14-001204
2015-04-28T09:00:00,Cyrus,14-001239
2015-04-28T09:30:00,Manley,14-002165
2015-04-28T10:00:00,Manley,14-002173
2015-04-28T10:30:00,Cyrus,14-001250
2015-04-28T13:00:00,Cyrus,14-001137
2015-04-28T15:00:00,Cyrus,14-001202
2015-04-29T09:00:00,Manley,14-001205
2015-04-29T09:00:00,Cyrus,14-001259
2015-04-29T09:00:00,Haggerty,14-001288
2015-04-29T10:00:00,Manley,14-001378
2015-04-29T10:30:00,Cyrus,14-001268
2015-04-29T13:00:00,Cyrus,14-001148
2015-04-29T15:00:00,Cyrus,14-001257
2015-04-29T15:00:00,Haggerty,14-001277
2015-04-30T09:00:00,Ballin,14-001320
2015-04-30T10:00:00,Ballin,14-001375
2015-04-30T13:00:00,Ballin,14-001229
2015-04-30T13:00:00,Cyrus,14-001231
2015-05-04T10:30:00,Ballin,14-001363
2015-05-05T09:00:00,Manley,14-001002
2015-05-05T09:00:00,Ballin,14-001386
2015-05-05T09:00:00,Cyrus,14-001282
2015-05-05T09:30:00,Manley,14-001952
2015-05-05T13:00:00,Ballin,14-001400
2015-05-05T13:00:00,Cyrus,14-001436
2015-05-05T14:00:00,Cyrus,14-001439
2015-05-05T15:00:00,Ballin,14-001430
2015-05-05T15:00:00,Cyrus,14-001441
2015-05-06T09:00:00,Manley,14-001083
2015-05-06T09:00:00,Manley,14-001273
2015-05-06T10:00:00,Manley,14-001303
2015-05-06T10:00:00,Manley,14-001403
2015-05-06T10:30:00,Cyrus,14-001474
2015-05-06T11:00:00,Manley,14-001473
2015-05-06T11:00:00,Manley,14-003073
2015-05-06T12:00:00,Manley,14-003093
2015-05-06T12:00:00,Manley,14-003133
2015-05-06T13:00:00,Manley,14-003443
2015-05-06T14:00:00,Cyrus,14-001571
2015-05-07T09:00:00,Cyrus,14-001478
2015-05-07T10:00:00,Manley,14-002552
2015-05-07T10:30:00,Cyrus,14-001630
2015-05-07T11:00:00,Manley,14-003057
2015-05-07T13:00:00,Ballin,14-001452
2015-05-07T13:00:00,Cyrus,14-001472
2015-05-07T15:00:00,Ballin,14-001553
2015-05-07T15:00:00,Cyrus,14-000020
2015-05-11T09:00:00,Ballin,14-001523
2015-05-11T13:00:00,Ballin,14-001503
2015-05-12T09:00:00,Manley,14-003113
2015-05-12T09:00:00,Manley,14-003319
2015-05-12T10:00:00,Manley,14-003159
2015-05-12T10:30:00,Cyrus,14-001711
2015-05-12T11:00:00,Manley,14-003279
2015-05-12T13:00:00,Cyrus,14-001507
2015-05-13T09:00:00,Cyrus,14-001558
2015-05-13T10:30:00,Cyrus,14-001759
2015-05-13T14:30:00,Cyrus,14-001574
2015-05-14T09:00:00,Manley,14-003607
2015-05-14T09:00:00,Ballin,14-001545
2015-05-14T10:00:00,Manley,14-000896
2015-05-14T10:30:00,Cyrus,14-001929
2015-05-14T13:00:00,Cyrus,14-001568
2015-05-14T15:00:00,Ballin,14-001880
2015-05-19T09:00:00,Cyrus,14-002532
2015-05-19T10:30:00,Ballin,14-000538
2015-05-19T14:30:00,Ballin,14-000346
2015-05-20T10:00:00,Cyrus,14-000838
2015-05-20T13:00:00,Cyrus,14-002535
2015-05-20T15:00:00,Cyrus,14-000565
2015-05-21T13:00:00,Cyrus,14-002702
2015-05-21T14:00:00,Ballin,14-002352
2015-05-21T14:00:00,Cyrus,14-002511
2015-05-26T09:00:00,Manley,14-002713
2015-05-26T09:30:00,Manley,14-001896
2015-05-26T10:00:00,Manley,14-003860
2015-05-26T10:00:00,Manley,14-000899
2015-05-26T10:30:00,Manley,14-003869
2015-05-26T11:00:00,Manley,14-001945
2015-05-26T14:30:00,Ballin,14-000432
2015-05-27T09:00:00,Ballin,14-000770
2015-05-27T09:00:00,Manley,14-001712
2015-05-27T10:30:00,Cyrus,14-000685
2015-05-27T14:00:00,Ballin,14-000512
2015-05-28T09:00:00,Ballin,14-000858
2015-05-28T09:30:00,Manley,14-002156
2015-05-28T10:00:00,Manley,14-002355
2015-05-28T10:30:00,Cyrus,14-002158
2015-05-28T14:00:00,Ballin,14-002035
2015-06-02T09:00:00,Cyrus,14-000845
2015-06-02T13:00:00,Cyrus,14-000219
2015-06-03T10:30:00,Haggerty,14-002653
2015-06-03T14:30:00,Haggerty,14-001347
2015-06-04T10:30:00,Cyrus,14-000836
2015-06-04T15:00:00,Ballin,14-000435
2015-06-05T10:30:00,Haggerty,14-002543
2015-06-05T13:00:00,Haggerty,14-002707
2015-06-05T14:00:00,Haggerty,14-002704
2015-06-05T15:00:00,Haggerty,14-002710
2015-06-08T09:00:00,Ballin,14-001668
2015-06-08T10:30:00,Haggerty,14-002810
2015-06-08T13:00:00,Haggerty,14-000556
2015-06-08T15:00:00,Haggerty,14-002750
2015-06-09T10:30:00,Ballin,14-001529
2015-06-10T09:00:00,Cyrus,14-001757
2015-06-10T10:30:00,Cyrus,14-001575
2015-06-10T13:00:00,Cyrus,14-001336
2015-06-10T15:00:00,Cyrus,14-001588
2015-06-11T09:00:00,Manley,14-002630
2015-06-11T09:00:00,Ballin,14-001781
2015-06-11T09:00:00,Ballin,14-002911
2015-06-11T09:30:00,Manley,14-002639
2015-06-11T10:00:00,Manley,14-002693
